,name,age,height(cm)
0,Larry,53,168
1,Robert,22,122
2,Geneva,69,133
3,Sandra,67,173
4,Tonya,15,128
5,Samuel,32,157
6,Donna,46,184
7,Jessica,24,156
8,Roy,60,159
9,Garret,21,139
10,Laverne,29,129
11,Francine,60,137
12,Mary,15,145
13,Jason,62,143
14,Jeff,36,170
15,Edward,43,141
16,Daniel,16,133
17,Kerri,78,126
18,Debra,37,136
19,Long,39,167
20,Charlotte,75,143
21,Edith,56,180
22,Henry,49,162
23,Carlos,59,151
24,George,13,132
25,Nancy,60,131
26,John,73,140
27,Douglas,29,122
28,Arthur,72,131
29,Holly,19,126
30,Scott,38,138
31,William,48,156
32,Christina,66,160
33,James,73,147
34,Natasha,10,131
35,Steven,51,155
36,Erika,15,147
37,Lydia,50,176
38,John,63,137
39,Debbie,20,160
40,Mable,56,123
41,James,65,158
42,Rose,22,154
43,Jeffrey,60,159
44,Paul,18,132
45,Kimberly,62,168
46,Juanita,76,145
47,David,16,125
48,Adrian,43,120
49,Darwin,57,161
50,Branda,67,149
51,Kimberly,30,154
52,Beatriz,43,155
53,Cheryl,33,170
54,Patricia,12,145
55,Susan,60,147
56,Dusty,61,147
57,Courtney,59,154
58,Patricia,33,160
59,Gladys,68,172
60,Ashley,76,140
61,Joshua,52,123
62,Tyler,46,134
63,Timothy,23,135
64,Keith,47,174
65,Linda,26,130
66,Roger,31,155
67,Diane,68,149
68,Leonardo,51,123
69,Maria,77,130
70,Shirley,74,142
71,Ernest,57,181
72,Richard,12,138
73,Lisa,56,160
74,Fred,55,137
75,Susan,79,130
76,Sheryl,63,122
77,Derrick,41,164
78,John,26,156
79,Ryan,48,182
80,Carl,63,144
81,Paul,56,136
82,Sharon,49,139
83,Vince,57,174
84,Peter,41,122
85,Michael,21,151
86,William,77,152
87,Leonardo,39,174
88,Georgia,44,181
89,Larry,62,154
90,Julie,74,144
91,Robert,77,131
92,Melvin,41,166
93,Arturo,52,184
94,Mark,46,167
95,Melissa,74,151
96,Deedee,11,122
97,Katherine,45,138
98,Lisa,35,122
99,Gerald,53,169
100,Janie,37,140
101,Maria,53,151
102,Fred,70,145
103,Jackie,65,128
104,Theresa,16,132
105,Margaret,28,158
106,David,23,137
107,Earl,62,135
108,Catherine,11,125
109,Jeremy,11,145
110,Carl,37,128
111,David,64,143
112,Jill,45,148
113,Lois,34,126
114,Alyssa,56,150
115,John,12,143
116,James,56,143
117,Carlos,63,166
118,Robert,49,150
119,Natashia,72,168
120,Arthur,60,160
121,Blaine,58,181
122,Wayne,22,142
123,Charles,34,173
124,Steven,33,161
125,Carolyn,69,144
126,Mario,56,146
127,Lonnie,59,139
128,Alexander,36,141
129,Anthony,65,151
130,Louise,22,146
131,Charles,80,159
132,Mario,30,149
133,Harry,67,127
134,Jeffrey,69,170
135,Brian,35,169
136,Carol,29,160
137,Bonnie,30,123
138,Bruce,66,173
139,Mona,69,152
140,Christine,73,142
141,Kenneth,30,156
142,Thomas,16,152
143,Patrick,31,125
144,Debra,15,125
145,Albert,49,131
146,Sandra,57,182
147,Noel,17,131
148,Alisa,18,126
149,Pedro,23,126
150,Gregg,60,180
151,John,36,144
152,Jean,78,147
153,Irene,14,132
154,Cynthia,55,142
155,Dorothy,62,126
156,Thomas,11,136
157,Dianne,36,139
158,Frank,75,134
159,Robin,51,129
160,Carolyn,50,167
161,Freddie,28,153
162,Miranda,46,161
163,Connie,46,169
164,Grace,36,167
165,Shannon,38,146
166,Johnny,16,131
167,Paula,70,136
168,Muriel,74,130
169,Calvin,34,136
170,Ruth,35,150
171,Keith,21,153
172,Marvin,62,177
173,Claude,62,151
174,Hugh,10,142
175,Johnna,61,168
176,John,33,160
177,Christine,18,141
178,Laura,79,135
179,Charles,37,126
180,Doris,26,164
181,Richard,58,141
182,John,54,164
183,Robert,79,135
184,John,60,152
185,Donald,55,167
186,Kathryn,15,132
187,Patricia,68,161
188,John,28,133
189,Bobby,52,132
190,Andrea,19,150
191,Robert,44,129
192,James,28,160
193,Sharon,21,159
194,John,70,154
195,Teresa,28,125
196,William,54,160
197,Sheri,34,149
198,Joyce,77,151
199,Anthony,38,163
200,Ashley,21,132
201,Vickie,59,167
202,Francis,68,152
203,Joseph,14,151
204,Carole,54,123
205,James,66,155
206,Alicia,46,141
207,Faith,61,149
208,Brian,20,158
209,Lacey,34,157
210,Priscilla,53,170
211,Curtis,39,137
212,Dale,22,146
213,Amelia,61,157
214,Ruth,17,122
215,Lula,10,121
216,John,35,154
217,Casey,38,141
218,Matt,55,148
219,Timothy,77,126
220,Randy,48,128
221,Aaron,63,161
222,Patricia,48,153
223,William,30,145
224,Kristine,14,148
225,Karen,11,135
226,Caroline,23,147
227,Vicky,17,129
228,Joan,67,131
229,Elizabeth,76,151
230,Lavern,78,145
231,Tiffany,49,162
232,William,11,120
233,Erick,15,147
234,Kenneth,52,179
235,Ralph,35,139
236,David,67,146
237,Justin,33,122
238,Juan,70,153
239,Jean,56,143
240,Hans,38,174
241,Patricia,41,130
242,Catherine,55,182
243,Robert,65,171
244,Wanda,57,154
245,Mike,50,121
246,Christopher,63,149
247,Gary,23,136
248,Mark,22,139
249,Audrey,23,146
250,Therese,74,138
251,Adam,25,147
252,Brian,52,181
253,Melody,46,133
254,Jessica,25,142
255,Lloyd,55,174
256,Kenneth,32,123
257,Mary,28,121
258,Barbara,37,160
259,Denise,63,175
260,Joseph,41,140
261,Alice,68,161
262,Catherine,19,122
263,Kimberly,79,157
