endTime,artistName,trackName,msPlayed
2019-06-09 22:58,Serú Girán,Eiti-Leda,137690
2019-06-10 09:15,Luis Alberto Spinetta,Rezo por Vos (En Vivo) (feat. Charly García),1021
2019-06-10 10:02,Sui Generis,Canción para Mi Muerte,215893
2019-06-10 10:06,Sui Generis,Rasguña Las Piedras,191226
2019-06-10 10:11,Charly García,Cerca De La Revolucion,280546
2019-06-10 10:14,Charly García,No Voy en Tren,181360
2019-06-10 10:17,Charly García,Tu Amor,186466
2019-06-10 10:22,Serú Girán,Cinema Verité,293213
2019-06-10 14:08,Charly García,Los Dinosaurios,172579
2019-06-10 14:12,Luis Alberto Spinetta,Quedándote O Yéndote,209160
2019-06-10 14:16,Spinetta Jade,Ludmila,7666
2019-06-10 14:16,Luis Alberto Spinetta,Bajan (En Vivo) (feat. Gustavo Cerati),225906
2019-06-10 14:21,Luis Alberto Spinetta,Fina Ropa Blanca (En Vivo),313640
2019-06-10 14:24,Luis Alberto Spinetta,Te para Tres (En Vivo) (feat. Gustavo Cerati),196453
2019-06-10 14:28,Luis Alberto Spinetta,Barro Tal Vez,197746
2019-06-10 14:29,Luis Alberto Spinetta,No Te Alejes Tanto De Mí,81818
2019-06-10 19:13,Almendra,Plegaria para un Niño Dormido,952
2019-06-10 19:13,Luis Alberto Spinetta,Quedándote o Yéndote,789
2019-06-10 19:13,Invisible,Durazno Sangrando,1369
2019-06-10 19:13,Luis Alberto Spinetta,Rezo Por Vos,1044
2019-06-10 19:13,Luis Alberto Spinetta,Rezo Por Vos,859
2019-06-10 19:13,Pescado Rabioso,Las Habladurias del Mundo,882
2019-06-10 19:13,Almendra,Tema De Pototo (Para Saber Como Es La Soledad),952
2019-06-10 19:13,Pescado Rabioso,Todas las Hojas Son del Viento,673
2019-06-10 19:13,Pescado Rabioso,Cantata de Puentes Amarillos,766
2019-06-10 19:13,Pescado Rabioso,Cementerio Club,719
2019-06-10 19:13,Luis Alberto Spinetta,No Te Alejes Tanto De Mí,882
2019-06-10 19:13,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,1160
2019-06-10 19:13,Luis Alberto Spinetta,Alma De Diamante,1068
2019-06-10 19:13,Almendra,Muchacha (Ojos de Papel),905
2019-06-10 19:17,Pescado Rabioso,Despiértate Nena,196160
2019-06-10 19:22,Spinetta Y Los Socios Del Desierto,Cheques,6106
2019-06-10 19:22,Invisible,Los Libros de la Buena Memoria,8637
2019-06-10 19:22,Luis Alberto Spinetta,Mi Elemento,324500
2019-06-10 19:23,Spinetta Jade,Maribel Se Durmió,43398
2019-06-10 19:28,Luis Alberto Spinetta,Mi Elemento (En Vivo),311386
2019-06-10 19:30,Invisible,El Anillo del Capitán Beto,121188
2019-06-10 19:31,Pescado Rabioso,Post-Crucifixion,69590
2019-06-10 19:32,Spinetta Y Los Socios Del Desierto,Jardín de Gente,3436
2019-06-10 19:32,Serú Girán,Peperina,42370
